Time,Contract,Fill Type,Filled Qty,Exec.Price,Value,Fill ID,Side,Fee rate,Rebate,Fees paid,Order Type,Order Price,Order Qty,Unfilled Qty,Order ID,Client Order ID
2024-08-18 14:56:24.814505+05:30 IST Asia/Kolkata,BTCUSD,normal,4,5.97E+4,238.8,f08150584de241f09f65e7ed3832cb0e,buy,0.0002,0,0.0563568,limit_order,59700,4,0,107275015,
2024-08-16 22:53:42.321240+05:30 IST Asia/Kolkata,BTCUSD,normal,4,58431,233.724,7134851e3c944bc89742ef1d5fc75495,buy,0.0005,0,0.13789716,market_order,59933,4,0,106031996,
2024-08-16 22:46:30.861663+05:30 IST Asia/Kolkata,BTCUSD,normal,4,58522,234.088,b2824293f1e64d3586f0909b2b616722,sell,0.0002,0,0.05524477,limit_order,58522,4,0,106030544,
2024-08-13 11:30:27.965154+05:30 IST Asia/Kolkata,SUIUSD,liquidation,2,0.9567,1.9134,ea99a2a7b9014bf898630d61112e9303,sell,0.0005,0,0.00112891,limit_order,0.9322,2,0,101713582,
2024-08-13 01:13:51.937407+05:30 IST Asia/Kolkata,SUIUSD,normal,1,1.0036,1.0036,1ad73024fcf14a95addf646e6b9c28fd,buy,0.0005,0,0.00059213,market_order,1.055,1,0,101502024,
2024-08-13 01:09:55.393217+05:30 IST Asia/Kolkata,SUIUSD,normal,1,1.012,1.012,de33a85f85e74ac3b4ce71685ab68e46,buy,0.0005,0,0.00059708,market_order,1.0627,1,0,101499649,
2024-07-11 18:01:19.514321+05:30 IST Asia/Kolkata,BTCUSD,liquidation,2,59150.5,118.301,f499df34c63048a0bc9c9ad1b6ee6b3c,sell,0.00045,0,0.06281784,limit_order,59016,2,0,71961765,
2024-07-11 18:01:11.909678+05:30 IST Asia/Kolkata,BTCUSD,normal,2,59312.5,118.625,7ab490a999ed4c2ba413a6921b950119,buy,0.00045,0,0.06298988,market_order,60795,2,0,71961625,
2024-07-11 15:33:33.509926+05:30 IST Asia/Kolkata,BTCUSD,normal,1,58453.5,58.4535,d54a52f4bec74f02a39f34ebf52e96a9,buy,0.00045,0,0.03103881,market_order,59808.5,1,0,71857488,
2024-07-11 15:01:36.326950+05:30 IST Asia/Kolkata,BTCUSD,normal,1,5.83E+4,58.3,8dd2ed3a964a4ebaa50410536cb6cd13,sell,0.00018,0,0.01238292,limit_order,58300,1,0,71857375,
2024-07-10 22:23:35.164897+05:30 IST Asia/Kolkata,ETHUSD,normal,1,3122.95,31.2295,35eb641b5ab84438ae962c61ca113c51,buy,0.00045,0,0.01658287,market_order,3199.55,1,0,71575051,
2024-07-10 21:34:34.421525+05:30 IST Asia/Kolkata,ETHUSD,normal,1,3127.65,31.2765,844235f3470443e28f75ad81c944f917,sell,0.00045,0,0.01660783,market_order,3046.45,1,0,71572506,
2024-07-10 21:15:21.469345+05:30 IST Asia/Kolkata,BTCUSD,normal,2,58007,116.014,f76fc095b17c496897fd72f65bbcbcd0,sell,0.00045,0,0.06160344,market_order,56518,2,0,71553030,
2024-07-10 21:04:36.981424+05:30 IST Asia/Kolkata,BTCUSD,normal,2,5.786E+4,115.72,99d9b66347c34f12b440bbff3f6ceb77,buy,0.00045,0,0.06144732,market_order,59309.5,2,0,71552535,
2024-07-10 19:17:36.573466+05:30 IST Asia/Kolkata,BTCUSD,normal,1,57755.5,57.7555,ede16442e7ff492b93ebf6794406fa25,buy,0.00045,0,0.03066818,market_order,59241,1,0,71474140,
2024-07-10 18:08:06.506447+05:30 IST Asia/Kolkata,BTCUSD,normal,1,58062.5,58.0625,85940d0394084a44850b2257bfeea020,sell,0.00045,0,0.03083119,market_order,56617.5,1,0,71463525,
2024-07-10 18:07:45.064876+05:30 IST Asia/Kolkata,BTCUSD,liquidation,3,58055,174.165,ff72f0305ecf4cf087b747c4e25ac32e,buy,0.00045,0,0.09248162,limit_order,58199,3,0,71463406,
2024-07-10 18:07:05.749819+05:30 IST Asia/Kolkata,BTCUSD,normal,3,57909.5,173.7285,5e99ad954ce4472abc517fd900f9a20d,sell,0.00045,0,0.09224984,market_order,56507.5,3,0,71463207,
2024-07-10 18:03:26.922559+05:30 IST Asia/Kolkata,BTCUSD,normal,1,58015.5,58.0155,8d78e3cfdf0446cda5cf143b1e2ca62b,sell,0.00045,0,0.03080624,market_order,56703,1,0,71387778,
2024-07-10 15:38:35.329223+05:30 IST Asia/Kolkata,BTCUSD,normal,1,58523.5,58.5235,12ee26f2848c493dbe93766c258ea251,buy,0.00045,0,0.03107598,market_order,59968,1,0,71387665,
2024-07-09 16:10:51.874302+05:30 IST Asia/Kolkata,BTCUSD,normal,1,57334.5,57.3345,351cba4324d94452bf7d9439f7b2a441,buy,0.00045,0,0.03044462,market_order,58789,1,0,70779945,
2024-07-09 14:23:02.063968+05:30 IST Asia/Kolkata,BTCUSD,normal,1,57698,57.698,eb56a3d6d84f4a11bcd449502c87cf74,sell,0.00045,0,0.03063764,market_order,56239.5,1,0,70778173,
2024-07-09 13:45:44.016137+05:30 IST Asia/Kolkata,BTCUSD,normal,1,57432,57.432,570f6684294a48c5b3bf9b20eff3bad4,buy,0.00045,0,0.0304964,market_order,58845,1,0,70753416,
2024-07-09 12:38:40.791774+05:30 IST Asia/Kolkata,BTCUSD,normal,1,57469,57.469,b9364391620e4bc58ae19e7697cfc48e,sell,0.00045,0,0.03051604,market_order,56037.5,1,0,70721904,
2024-07-08 23:41:48.660033+05:30 IST Asia/Kolkata,BTCUSD,normal,4,56382.5,225.53,e76d4ee7dccc4c429ff858917ff5820c,buy,0.00045,0,0.11975643,market_order,57761,5,0,70492830,
2024-07-08 23:41:48.659974+05:30 IST Asia/Kolkata,BTCUSD,normal,1,56382.5,56.3825,c318816edfc4423396e0490a7d636285,buy,0.00045,0,0.02993911,market_order,57761,5,4,70492830,
2024-07-08 23:27:16.728532+05:30 IST Asia/Kolkata,BTCUSD,normal,5,56256.5,281.2825,70f6a6194f4d45708022f1fb8e1a2d91,sell,0.00045,0,0.14936101,market_order,54843.5,5,0,70484090,
2024-07-08 23:24:04.992398+05:30 IST Asia/Kolkata,BTCUSD,normal,1,56236.5,56.2365,1a4c2c52e8d54bdf886be2d49a1227cc,sell,0.00045,0,0.02986159,market_order,54816,1,0,70471576,
2024-07-08 22:52:05.428587+05:30 IST Asia/Kolkata,BTCUSD,normal,1,55965.5,55.9655,7e8caa0a251e4af986529939302aa685,buy,0.00045,0,0.02971769,market_order,57339,1,0,70466289,
